indice_tiempo,vbp_artes_escenicas,vbp_artes_plasticas,vbp_libros_y_publicaciones,vbp_audiovisual,vbp_produccion_y_edicion_musical,vbp_diseno,vbp_patrimonio_material,vbp_formacion_cultural,vbp_contenido_digital,vbp_publicidad
2004-01-01,587884,262792,3188666,5306287,929281,1873960,335668,122944,356121,3008378
2005-01-01,711157,296420,3518146,6011008,1101213,2075196,371543,158272,420988,3572769
2006-01-01,875526,336451,4071663,6690094,1430988,2347750,390083,172275,469095,3974450
2007-01-01,1004847,383700,4052731,7706413,1554846,2626932,418517,226281,549958,4064539
2008-01-01,1064123,424509,4897795,8511969,1649756,2775247,429772,258320,652539,4249174
2009-01-01,1031211,417492,4642851,7804339,1627219,2234556,415203,272008,789230,3937551
2010-01-01,1140731,440164,4689687,7508822,1741134,2587747,436153,294973,989545,4741576
2011-01-01,1181359,459046,5175086,7729881,1872123,2875144,448200,306606,1425494,5005379
2012-01-01,1224657,460207,4912964,8477215,1908624,2753259,439689,313693,2151865,4551917
2013-01-01,1262155,461661,4575009,8731692,1923861,2748161,445682,335695,2652457,4572508
2014-01-01,1219984,459225,4331604,9141676,1871042,2649289,446046,375612,2978601,4360053
2015-01-01,1277364,474205,4425531,9034122,1960096,2715354,457689,383939,3690380,4002687
2016-01-01,1392130,471713,4144514,9352866,2046844,2383149,509259,416766,4503702,3796884
2017-01-01,1442937,472806,4183520,9347869,2109993,2667594,508468,429580,5235336,3806904
2018-01-01,1525717,464041,3986878,9180491,2172581,2669540,505391,382442,5330446,3366583
2019-01-01,1483936,446499,3855088,9061839,2127098,2487829,500053,374190,5409801,3156536
2020-01-01,511316,395323,3618596,8510617,1186926,2019220,239943,398435,5369050,2429595
2021-01-01,742322,435980,3773101,8539186,1407614,2593235,394282,422805,5583249,3411196